question,relevant_document_ids,categories,authors,year
What insights can be gained about object recognition from studying these specific property interactions within images?,17954,"cs.CV, cs.LG, stat.ML","Laurin Herbsthofer, Barbara Prietl, Martina Tomberger, Thomas Pieber, Pablo López-García",2020
How does SAFT improve textual interaction classification?,9409,"cs.CL, cs.AI","Hongtao Wang, Renchi Yang, Hewen Wang, Haoran Zheng, Jianliang Xu",2025
What are the key features of structure-aware transformers in NLP tasks?,9409,"cs.CL, cs.AI","Hongtao Wang, Renchi Yang, Hewen Wang, Haoran Zheng, Jianliang Xu",2025
Can rhyming enhance LLM reinforcement learning efficiency?,2055,"cs.LG, cs.DC","Jingkai He, Tianjian Li, Erhu Feng, Dong Du, Qian Liu, Tao Liu, Yubin Xia, Haibo Chen",2025
What role do GANs play in generating art with multiple discriminators?,2055,"cs.LG, cs.DC","Jingkai He, Tianjian Li, Erhu Feng, Dong Du, Qian Liu, Tao Liu, Yubin Xia, Haibo Chen",2025
Why are imperceptible adversarial perturbations crucial for NLP research?,11424,"cs.CL, cs.CR, cs.LG","Yangyi Chen, Hongcheng Gao, Ganqu Cui, Fanchao Qi, Longtao Huang, Zhiyuan Liu, Maosong Sun",2022
How does the current understanding of adversarial robustness need to change?,11424,"cs.CL, cs.CR, cs.LG","Yangyi Chen, Hongcheng Gao, Ganqu Cui, Fanchao Qi, Longtao Huang, Zhiyuan Liu, Maosong Sun",2022
What techniques do GANs use with multiple discriminators in art generation?,6864,cs.CV,James Baker,2023
"Can ARTEMIS produce high-quality, realistic images indistinguishable from human artists?",6864,cs.CV,James Baker,2023
How can we bridge the gap between LLM and human judgments of textual content?,18496,"cs.LG, cs.AI, cs.CL, stat.ML","Felipe Maia Polo, Xinhe Wang, Mikhail Yurochkin, Gongjun Xu, Moulinath Banerjee, Yuekai Sun",2025
What factors contribute to discrepancies in understanding language models versus humans?,18496,"cs.LG, cs.AI, cs.CL, stat.ML","Felipe Maia Polo, Xinhe Wang, Mikhail Yurochkin, Gongjun Xu, Moulinath Banerjee, Yuekai Sun",2025
Why is underclaiming a risk when reporting NLP system failures?,11558,"cs.CL, cs.AI",Samuel R. Bowman,2021
How can we improve transparency and accuracy in failure reports of LLMs?,11558,"cs.CL, cs.AI",Samuel R. Bowman,2021
What challenges does multi-modal learning face for real-time question tracking in speech?,10900,"cs.CL, cs.SD, eess.AS","Jakob D. Havtorn, Jan Latko, Joakim Edin, Lasse Borgholt, Lars Maaløe, Lorenzo Belgrano, Nicolai F. Jacobsen, Regitze Sdun, Željko Agić",2020
Can the MultiQT framework effectively handle diverse data types simultaneously during interaction?,10900,"cs.CL, cs.SD, eess.AS","Jakob D. Havtorn, Jan Latko, Joakim Edin, Lasse Borgholt, Lars Maaløe, Lorenzo Belgrano, Nicolai F. Jacobsen, Regitze Sdun, Željko Agić",2020
How do unified text-to-text transformers enhance transfer learning capabilities?,10829,"cs.LG, cs.CL, stat.ML","Colin Raffel, Noam Shazeer, Adam Roberts, Katherine Lee, Sharan Narang, Michael Matena, Yanqi Zhou, Wei Li, Peter J. Liu",2019
What are potential applications of a single model for various NLP tasks and domains?,10829,"cs.LG, cs.CL, stat.ML","Colin Raffel, Noam Shazeer, Adam Roberts, Katherine Lee, Sharan Narang, Michael Matena, Yanqi Zhou, Wei Li, Peter J. Liu",2019
In what ways can PCP-MAE predict center points in point masked autoencoders effectively?,6504,cs.CV,"Xiangdong Zhang, Shaofeng Zhang, Junchi Yan",2024
How does the performance of centering prediction impact overall image generation quality with LLMs?,6504,cs.CV,"Xiangdong Zhang, Shaofeng Zhang, Junchi Yan",2024
What insights have been gained about language model structure from data analysis studies?,16546,"cs.LG, cs.AI","Suqing Wang, Zuchao Li, Luohe Shi, Bo Du, Hai Zhao, Yun Li, Qianren Wang",2025
How do development strategies for large-scale NLP models affect their long-term sustainability and performance?,16546,"cs.LG, cs.AI","Suqing Wang, Zuchao Li, Luohe Shi, Bo Du, Hai Zhao, Yun Li, Qianren Wang",2025
How does self-distillation preserve pre-trained knowledge in action recognition?,7787,"cs.CV, cs.LG","Yang Zhou, Zhanhao He, Keyu Lu, Guanhong Wang, Gaoang Wang",2022
What benefits do transfer learning and self-distillation offer for image classification tasks?,7787,"cs.CV, cs.LG","Yang Zhou, Zhanhao He, Keyu Lu, Guanhong Wang, Gaoang Wang",2022
Can few-shot learning effectively improve baseline performance on new classes with limited data samples?,17990,"cs.LG, cs.CV, stat.ML","Guneet S. Dhillon, Pratik Chaudhari, Avinash Ravichandran, Stefano Soatto",2019
How does the proposed method handle class imbalance in few-shot image classification scenarios?,17990,"cs.LG, cs.CV, stat.ML","Guneet S. Dhillon, Pratik Chaudhari, Avinash Ravichandran, Stefano Soatto",2019
What are key improvements to message passing GNNs for enhancing top-k recommendation accuracy?,776,"cs.IR, cs.LG","Yannis Karmim, Elias Ramzi, Raphaël Fournier-S'niehotta, Nicolas Thome",2024
In what ways can training and evaluation of GNNs be optimized using the proposed methodology?,776,"cs.IR, cs.LG","Yannis Karmim, Elias Ramzi, Raphaël Fournier-S'niehotta, Nicolas Thome",2024
How does wavelet transform aid in multi-stage image denoising processes effectively?,19096,"eess.IV, cs.CV","Chunwei Tian, Menghua Zheng, Wangmeng Zuo, Bob Zhang, Yanning Zhang, David Zhang",2022
What are potential applications for improved noise reduction techniques in medical imaging fields?,19096,"eess.IV, cs.CV","Chunwei Tian, Menghua Zheng, Wangmeng Zuo, Bob Zhang, Yanning Zhang, David Zhang",2022
In what ways can SurgicalGPT enhance visual question answering specifically within surgical contexts?,6049,"cs.CV, cs.AI, eess.IV","Lalithkumar Seenivasan, Mobarakol Islam, Gokul Kannan, Hongliang Ren",2023
How does the integration of language and vision models improve performance on specialized tasks like image-based Q&A in surgeries?,6049,"cs.CV, cs.AI, eess.IV","Lalithkumar Seenivasan, Mobarakol Islam, Gokul Kannan, Hongliang Ren",2023
What are current trends in neuromorphic computing for autonomous systems' embodied intelligence development?,4603,cs.LG,"Alberto Marchisio, Muhammad Shafique",2025
Which challenges remain unresolved when applying neuromorphic approaches to real-world robotics tasks?,4603,cs.LG,"Alberto Marchisio, Muhammad Shafique",2025
How does inference-time diffusion model distillation improve the efficiency of generative models during runtime?,15645,"cs.CV, cs.AI","Geon Yeong Park, Sang Wan Lee, Jong Chul Ye",2024
"What are potential applications for this method in fields requiring on-the-fly content generation, like live video streaming or interactive storytelling?",15645,"cs.CV, cs.AI","Geon Yeong Park, Sang Wan Lee, Jong Chul Ye",2024
How does FM-G-CAM contribute to explainable AI within the computer vision domain?,3429,"cs.CV, cs.AI, cs.LG","Ravidu Suien Rammuni Silva, Jordan J. Bird",2023
What are potential implications for model interpretability and trust in critical applications using this approach?,3429,"cs.CV, cs.AI, cs.LG","Ravidu Suien Rammuni Silva, Jordan J. Bird",2023
In what ways can universal knowledge corruption attacks impact retrieval systems used alongside generative models like GPT-3?,12581,"cs.CR, cs.CL, I.2.7","Runpeng Geng, Yanting Wang, Ying Chen, Jinyuan Jia",2025
How does UniC-RAG propose to mitigate the risks associated with such adversarial tactics in AI security?,12581,"cs.CR, cs.CL, I.2.7","Runpeng Geng, Yanting Wang, Ying Chen, Jinyuan Jia",2025
What role do covariance and multivariate probit model play in multi-label classification for complex datasets like MNIST or CIFAR-10?,17310,"cs.LG, stat.ML","Junwen Bai, Shufeng Kong, Carla Gomes",2020
How does the disentangled variational autoencoder approach improve label prediction accuracy across diverse image categories with multiple labels per instance?,17310,"cs.LG, stat.ML","Junwen Bai, Shufeng Kong, Carla Gomes",2020
How are Bombus species differentiated in image classification?,17960,"cs.CV, cs.LG, stat.ML","Venkat Margapuri, George Lavezzi, Robert Stewart, Dan Wagner",2020
What challenges exist for classifying images of different Bombus species?,17960,"cs.CV, cs.LG, stat.ML","Venkat Margapuri, George Lavezzi, Robert Stewart, Dan Wagner",2020
Can low-complexity DCT transforms improve video coding efficiency?,19183,"eess.IV, cs.MM, cs.NA, eess.SP, math.NA, stat.ME, 94A08, 65D15","T. L. T. da Silveira, D. R. Canterle, D. F. G. Coelho, V. A. Coutinho, F. M. Bayer, R. J. Cintra",2022
Are there specific applications where these DCT-like transforms excel in image and video compression?,19183,"eess.IV, cs.MM, cs.NA, eess.SP, math.NA, stat.ME, 94A08, 65D15","T. L. T. da Silveira, D. R. Canterle, D. F. G. Coelho, V. A. Coutinho, F. M. Bayer, R. J. Cintra",2022
What are the key features of AnyGraph for handling real-world graph data?,3189,"cs.LG, cs.AI","Lianghao Xia, Chao Huang",2024
How does AnyGraph adapt to various types of graphs encountered in practical scenarios?,3189,"cs.LG, cs.AI","Lianghao Xia, Chao Huang",2024
How effective is LensID at detecting lens irregularities during cataract surgery videos?,6321,"eess.IV, cs.CV","Negin Ghamsarian, Mario Taschwer, Doris Putzgruber-Adamitsch, Stephanie Sarny, Yosuf El-Shabrawi, Klaus Schoeffmann",2021
What impact could accurate detection have on patient outcomes and surgeon performance?,6321,"eess.IV, cs.CV","Negin Ghamsarian, Mario Taschwer, Doris Putzgruber-Adamitsch, Stephanie Sarny, Yosuf El-Shabrawi, Klaus Schoeffmann",2021
"Has the focus of DLT research evolved in ESG contexts over time, according to NLP analysis?",4030,"cs.IR, cs.CL, cs.LG","Walter Hernandez Cruz, Kamil Tylinski, Alastair Moore, Niall Roche, Nikhil Vadgama, Horst Treiblmaier, Jiangbo Shangguan, Paolo Tasca, Jiahua Xu",2023
How do trends in literature reflect changing priorities within ESG-focused blockchain technology?,4030,"cs.IR, cs.CL, cs.LG","Walter Hernandez Cruz, Kamil Tylinski, Alastair Moore, Niall Roche, Nikhil Vadgama, Horst Treiblmaier, Jiangbo Shangguan, Paolo Tasca, Jiahua Xu",2023
What are the main criteria for evaluating long-form text generation by large language models using PROXYQA?,15227,"cs.CL, cs.AI","Haochen Tan, Zhijiang Guo, Zhan Shi, Lu Xu, Zhili Liu, Yunlong Feng, Xiaoguang Li, Yasheng Wang, Lifeng Shang, Qun Liu, Linqi Song",2024
In what ways does PROXYQA provide a more nuanced assessment compared to traditional methods?,15227,"cs.CL, cs.AI","Haochen Tan, Zhijiang Guo, Zhan Shi, Lu Xu, Zhili Liu, Yunlong Feng, Xiaoguang Li, Yasheng Wang, Lifeng Shang, Qun Liu, Linqi Song",2024
How is high throughput achieved in the cotton phenotyping big data pipeline Lambda Architecture?,3455,"cs.CV, cs.LG","Amanda Issac, Alireza Ebrahimi, Javad Mohammadpour Velni, Glen Rains",2023
What role do deep neural networks play in processing and analyzing large volumes of agricultural imagery?,3455,"cs.CV, cs.LG","Amanda Issac, Alireza Ebrahimi, Javad Mohammadpour Velni, Glen Rains",2023
In what ways can social robots enhance physiotherapy through policy learning techniques?,14662,"cs.RO, cs.AI","Carl Bettosi, Lynne Ballie, Susan Shenkin, Marta Romeo",2025
How does the robot adapt its behavior to individual patient needs using learned policies for therapy guidance?,14662,"cs.RO, cs.AI","Carl Bettosi, Lynne Ballie, Susan Shenkin, Marta Romeo",2025
What are the benefits of a prompted contextual transformer in CT reconstruction with incomplete views?,18824,eess.IV,"Chenglong Ma, Zilong Li, Junjun He, Junping Zhang, Yi Zhang, Hongming Shan",2023
Can this approach reduce artifacts and improve image quality compared to traditional methods?,18824,eess.IV,"Chenglong Ma, Zilong Li, Junjun He, Junping Zhang, Yi Zhang, Hongming Shan",2023
How does SegQuant maintain semantic integrity while quantizing diffusion models for neural networks?,15382,"cs.CV, cs.AI","Jiaji Zhang, Ruichao Sun, Hailiang Zhao, Jiaju Wu, Peng Chen, Hao Li, Yuying Liu, Kingsum Chow, Gang Xiong, Shuiguang Deng",2025
What are the implications of generalizable quantization on model deployment across different hardware platforms?,15382,"cs.CV, cs.AI","Jiaji Zhang, Ruichao Sun, Hailiang Zhao, Jiaju Wu, Peng Chen, Hao Li, Yuying Liu, Kingsum Chow, Gang Xiong, Shuiguang Deng",2025
How does TSMS-SAM2 improve video object segmentation in surgical scenarios?,8807,cs.CV,"Guoping Xu, Hua-Chieh Shao, You Zhang",2025
What memory efficiency benefits are achieved through the SAM pruning methodology?,8807,cs.CV,"Guoping Xu, Hua-Chieh Shao, You Zhang",2025
Can SCLA algorithm optimize mobile robot motion effectively?,22825,"cs.RO, cs.NE","Vahid Pashaei Rad, Vahid Azimi Rad, Saleh Valizadeh Sotubadi",2023
How does spiking neural activity influence learning automata for robots?,22825,"cs.RO, cs.NE","Vahid Pashaei Rad, Vahid Azimi Rad, Saleh Valizadeh Sotubadi",2023
What role do reliable random seeds play in text-to-image generation commonsense reasoning?,408,"cs.CL, cs.LG","Rohan Kashyap, Vivek Kashyap, Narendra C. P.",2022
Does GPT-Neo's approach to common sense differ from traditional models?,408,"cs.CL, cs.LG","Rohan Kashyap, Vivek Kashyap, Narendra C. P.",2022
How does the reliability of seed selection impact image composition quality?,5166,"cs.CV, cs.LG","Shuangqi Li, Hieu Le, Jingyi Xu, Mathieu Salzmann",2024
What techniques enhance compositional text-to-image generation with RHS methodology?,5166,"cs.CV, cs.LG","Shuangqi Li, Hieu Le, Jingyi Xu, Mathieu Salzmann",2024
In what ways do reasoning language models generate chain-of-thought processes?,15177,"cs.CL, cs.AI, cs.CR","Junhao Liu, Zhenhao Xu, Yuxin Fang, Yichuan Chen, Zuobin Ying, Wenhan Chang",2025
How does the output of these models reflect their internal thought chains?,15177,"cs.CL, cs.AI, cs.CR","Junhao Liu, Zhenhao Xu, Yuxin Fang, Yichuan Chen, Zuobin Ying, Wenhan Chang",2025
What clinical research principles aid NLP model generalization in medical texts?,11252,cs.CL,"Aparna Elangovan, Jiayuan He, Yuan Li, Karin Verspoor",2023
Can such principles be applied to other domains for improved language understanding?,11252,cs.CL,"Aparna Elangovan, Jiayuan He, Yuan Li, Karin Verspoor",2023
How does learning curve estimation affect CNN-based image classification accuracy?,22291,"cs.LG, cs.NE","Laura Didyk, Brayden Yarish, Michael A. Beck, Christopher P. Bidinosti, Christopher J. Henry",2023
Are there strategies that can mitigate the impact of steep initial learning curves in deep networks?,22291,"cs.LG, cs.NE","Laura Didyk, Brayden Yarish, Michael A. Beck, Christopher P. Bidinosti, Christopher J. Henry",2023
What advantages do learnable convolutional features offer for ASR systems compared to fixed ones?,4137,"eess.AS, cs.CL, cs.LG, cs.SD","Peter Vieting, Benedikt Hilmes, Ralf Schlüter, Hermann Ney",2025
How does this approach improve speech recognition performance across different languages and dialects?,4137,"eess.AS, cs.CL, cs.LG, cs.SD","Peter Vieting, Benedikt Hilmes, Ralf Schlüter, Hermann Ney",2025
What impact does Refusal-Vector Ablation have on Llama agent behavior in complex environments?,9866,"cs.CL, cs.AI","Simon Lermen, Mateusz Dziemian, Govind Pimpale",2024
Can these strategies be generalized to other language models for better task understanding?,9866,"cs.CL, cs.AI","Simon Lermen, Mateusz Dziemian, Govind Pimpale",2024
How do Neural Residual Diffusion Models contribute to scalable vision generation techniques?,15893,"cs.CV, cs.AI","Zhiyuan Ma, Liangliang Zhao, Biqing Qi, Bowen Zhou",2024
What are the implications of this approach on future developments in deep learning-based image synthesis?,15893,"cs.CV, cs.AI","Zhiyuan Ma, Liangliang Zhao, Biqing Qi, Bowen Zhou",2024
How does the hybrid molecular autoencoder improve classical decoding?,1197,"cs.LG, quant-ph","Afrar Jahin, Yi Pan, Yingfeng Wang, Tianming Liu, Wei Zhang",2025
What role do quantum mechanics play in this novel approach to coding theory?,1197,"cs.LG, quant-ph","Afrar Jahin, Yi Pan, Yingfeng Wang, Tianming Liu, Wei Zhang",2025
Can real-time ultrasound conversion enhance breast cancer diagnosis cost-effectiveness?,18907,"eess.IV, cs.CV","Sahar Almahfouz Nasser, Ashutosh Sharma, Anmol Saraf, Amruta Mahendra Parulekar, Purvi Haria, Amit Sethi",2023
How does the proposed method compare with traditional mammogram diagnostics for accuracy and speed?,18907,"eess.IV, cs.CV","Sahar Almahfouz Nasser, Ashutosh Sharma, Anmol Saraf, Amruta Mahendra Parulekar, Purvi Haria, Amit Sethi",2023
What advantages do adaptive receptive fields provide in medical image segmentation using PARF-Net?,6277,cs.CV,"Xu Ma, Mengsheng Chen, Junhui Zhang, Lijuan Song, Fang Du, Zhenhua Yu",2025
In what ways can integrating pixel-wise attention improve the performance of hybrid Transformer-CNN networks for healthcare applications?,6277,cs.CV,"Xu Ma, Mengsheng Chen, Junhui Zhang, Lijuan Song, Fang Du, Zhenhua Yu",2025
How does cross-lingual transfer learning contribute to efficient language model training in multilingual contexts?,10651,"cs.CL, cs.AI","Malte Ostendorff, Georg Rehm",2023
"What progressive techniques are employed by Rehm and Ostendorff's approach, and how do they enhance the robustness of neural networks across languages?",10651,"cs.CL, cs.AI","Malte Ostendorff, Georg Rehm",2023
How does semantic embedding improve multi-label image classification performance in deep learning models?,21204,"cs.CV, cs.AI, cs.RO","Xin Shen, Xiaonan Zhao, Rui Luo",2023
What generic approaches can be applied to boost accuracy for complex labeling tasks using Shen et al.'s methodology?,21204,"cs.CV, cs.AI, cs.RO","Xin Shen, Xiaonan Zhao, Rui Luo",2023
"In what ways do universal input perturbations facilitate machine unlearning, and how does this impact image classification systems?",3639,"cs.LG, cs.CV","Changchang Sun, Ren Wang, Yihua Zhang, Jinghan Jia, Jiancheng Liu, Gaowen Liu, Yan Yan, Sijia Liu",2024
How are forget vectors utilized in the process of driving 'unlearning' within neural networks for privacy preservation or model simplification?,3639,"cs.LG, cs.CV","Changchang Sun, Ren Wang, Yihua Zhang, Jinghan Jia, Jiancheng Liu, Gaowen Liu, Yan Yan, Sijia Liu",2024
"What transfer learning techniques have been applied to skin disease classification, and how effective is this approach compared to traditional methods?",19668,"eess.IV, 68T45, I.4","Jessica S. Velasco, Jomer V. Catipon, Edmund G. Monilar, Villamor M. Amon, Glenn C. Virrey, Lean Karlo S. Tolentino",2023
How does CNN-based transfer learning enhance the accuracy of diagnosing various types of skin diseases in clinical settings?,19668,"eess.IV, 68T45, I.4","Jessica S. Velasco, Jomer V. Catipon, Edmund G. Monilar, Villamor M. Amon, Glenn C. Virrey, Lean Karlo S. Tolentino",2023
"What challenges arise when scaling robotic manipulation tasks, and how can diversity aid in addressing these issues?",4289,"cs.RO, cs.AI, cs.LG","Modi Shi, Li Chen, Jin Chen, Yuxiang Lu, Chiming Liu, Guanghui Ren, Ping Luo, Di Huang, Maoqing Yao, Hongyang Li",2025
How does Deng et al.'s FodFoM algorithm enhance the detection of out-of-distribution data for robust visual recognition systems?,4289,"cs.RO, cs.AI, cs.LG","Modi Shi, Li Chen, Jin Chen, Yuxiang Lu, Chiming Liu, Guanghui Ren, Ping Luo, Di Huang, Maoqing Yao, Hongyang Li",2025
"What are foundation models, and how do they contribute to creating stronger OOD detectors in image processing tasks?",3047,"cs.CV, cs.LG","Jiankang Chen, Ling Deng, Zhiyong Gan, Wei-Shi Zheng, Ruixuan Wang",2024
How does Chen et al.'s approach leverage FodFoM algorithm's capabilities to improve the robustness of visual out-of0_outlier detection systems against adversarial attacks?,3047,"cs.CV, cs.LG","Jiankang Chen, Ling Deng, Zhiyong Gan, Wei-Shi Zheng, Ruixuan Wang",2024
What are the key components and benefits of a generative fusion decoding algorithm using LLMs for ASR/OCR tasks in real time applications?,14598,"cs.CL, cs.AI","Chan-Jan Hsu, Yi-Chang Chen, Feng-Ting Liao, Pei-Chen Ho, Yu-Hsiang Wang, Po-Chun Hsu, Da-shan Shiu",2024
"How does Hsu et al.'s Let's Fuse Step by Step approach enhance instruction-aware speech recognition, particularly when dealing with noisy environments or accented speakers?",14598,"cs.CL, cs.AI","Chan-Jan Hsu, Yi-Chang Chen, Feng-Ting Liao, Pei-Chen Ho, Yu-Hsiang Wang, Po-Chun Hsu, Da-shan Shiu",2024
How does atypical speech recognition differ in dysarthric patients?,11840,"cs.SD, cs.CL, eess.AS","Vishnu Raja, Adithya V Ganesan, Anand Syamkumar, Ritwik Banerjee, H Andrew Schwartz",2025
What are the implications of modeling idiosyncratic versus normative approaches to recognize disordered speech patterns?,11840,"cs.SD, cs.CL, eess.AS","Vishnu Raja, Adithya V Ganesan, Anand Syamkumar, Ritwik Banerjee, H Andrew Schwartz",2025
Can visual-cluster priors improve zero-shot identification for multi-species plants using Tile-Based ViTs?,554,"cs.CV, cs.IR, cs.LG","Murilo Gustineli, Anthony Miyaguchi, Adrian Cheung, Divyansh Khattak",2025
How does the integration of Visual Transformers and Convolutional Neural Networks aid UAV navigation in search and rescue missions?,554,"cs.CV, cs.IR, cs.LG","Murilo Gustineli, Anthony Miyaguchi, Adrian Cheung, Divyansh Khattak",2025
What role do computer vision techniques play in autonomous UAV guidance for SAR operations?,21180,cs.RO,"Luka Šiktar, Branimir Ćaran, Bojan Šekoranja, Marko Švaco",2025
In what ways can convolutional neural networks enhance the efficiency of visual-based object detection on drones during disasters?,21180,cs.RO,"Luka Šiktar, Branimir Ćaran, Bojan Šekoranja, Marko Švaco",2025
How does combining a 3D CNN with Transformers improve video behavior recognition systems?,5740,"cs.CV, cs.AI","Xiuliang Zhang, Tadiwa Elisha Nyamasvisva, Chuntao Liu",2025
What are potential applications for this framework in real-world surveillance scenarios?,5740,"cs.CV, cs.AI","Xiuliang Zhang, Tadiwa Elisha Nyamasvisva, Chuntao Liu",2025
In what ways can generalized human expertise be incorporated into multi-agent reinforcement learning to optimize individual intrinsic rewards?,2195,"cs.LG, cs.AI, cs.MA","Xuefei Wu, Xiao Yin, Yuanyang Zhu, Chunlin Chen",2025
How does the proposed method calibrate these personalized reward systems in complex environments with multiple agents?,2195,"cs.LG, cs.AI, cs.MA","Xuefei Wu, Xiao Yin, Yuanyang Zhu, Chunlin Chen",2025
What are sparse Gaussian Processes and how do they contribute to transformer model training efficiency?,16931,"cs.LG, stat.ML","Wenlong Chen, Yingzhen Li",2023
Can this approach effectively handle large-scale language models without compromising on performance or accuracy?,16931,"cs.LG, stat.ML","Wenlong Chen, Yingzhen Li",2023
How does TimeExpert leverage expert guidance for video temporal grounding in complex narratives?,9132,cs.CV,"Zuhao Yang, Yingchen Yu, Yunqing Zhao, Shijian Lu, Song Bai",2025
"What are the potential benefits and limitations of using an LLM like GPT with a specialized domain knowledge base, such as time-expertise?",9132,cs.CV,"Zuhao Yang, Yingchen Yu, Yunqing Zhao, Shijian Lu, Song Bai",2025
How do Graph Neural Networks (GNN) enhance computer vision tasks when combined with Transformers in multi-agent settings?,3479,"cs.CV, cs.AI, cs.LG","Chaoqi Chen, Yushuang Wu, Qiyuan Dai, Hong-Yu Zhou, Mutian Xu, Sibei Yang, Xiaoguang Han, Yizhou Yu",2022
What are the key challenges and opportunities for applying GNN to dynamic environments like traffic monitoring or crowd analysis using video data?,3479,"cs.CV, cs.AI, cs.LG","Chaoqi Chen, Yushuang Wu, Qiyuan Dai, Hong-Yu Zhou, Mutian Xu, Sibei Yang, Xiaoguang Han, Yizhou Yu",2022
How does GeoScatt-GNN utilize geometric scattering transforms in predicting ames mutagenicity of chemical compounds?,18625,"cs.LG, cs.AI, eess.IV, q-bio.QM","Abdeljalil Zoubir, Badr Missaoui",2024
What advantages do graph neural networks offer for molecular structure prediction and risk assessment over traditional methods?,18625,"cs.LG, cs.AI, eess.IV, q-bio.QM","Abdeljalil Zoubir, Badr Missaoui",2024
How does RENet ensure fault tolerance during motion control tasks on quadruped robots using visual inputs under challenging conditions like collapse?,21868,cs.RO,"Yueqi Zhang, Quancheng Qian, Taixian Hou, Peng Zhai, Xiaoyi Wei, Kangmai Hu, Jiafu Yi, Lihua Zhang",2025
What are the implications of redundant estimator networks for real-time robotic navigation and stability in unpredictable terrains or environments with partial visibility?,21868,cs.RO,"Yueqi Zhang, Quancheng Qian, Taixian Hou, Peng Zhai, Xiaoyi Wei, Kangmai Hu, Jiafu Yi, Lihua Zhang",2025
How do LLM-enhanced linear autoencoders improve recommendation systems?,1206,"cs.IR, cs.AI, cs.CL, cs.LG","Jaewan Moon, Seongmin Park, Jongwuk Lee",2025
What challenges does preference manipulation pose in recommender systems?,1206,"cs.IR, cs.AI, cs.CL, cs.LG","Jaewan Moon, Seongmin Park, Jongwuk Lee",2025
Can knowledge of meta-preferences mitigate bias in recommendations?,15036,"cs.IR, cs.AI, cs.CY, cs.LG","Hal Ashton, Matija Franklin",2022
How do we identify and measure user preferences accurately?,15036,"cs.IR, cs.AI, cs.CY, cs.LG","Hal Ashton, Matija Franklin",2022
What role does NLP play in ensuring product safety on e-commerce platforms?,11418,cs.CL,"Kishaloy Halder, Josip Krapac, Dmitry Goryunov, Anthony Brew, Matti Lyra, Alsida Dizdari, William Gillett, Adrien Renahy, Sinan Tang",2022
Which products are most at risk of being unsafe without proper language processing tools?,11418,cs.CL,"Kishaloy Halder, Josip Krapac, Dmitry Goryunov, Anthony Brew, Matti Lyra, Alsida Dizdari, William Gillett, Adrien Renahy, Sinan Tang",2022
How can transfer learning aid ultrasound tongue contour extraction across different domains?,10862,"cs.LG, cs.CL, cs.SD, eess.AS, eess.IV, stat.ML","M. Hamed Mozaffari, Won-Sook Lee",2019
What challenges arise when applying domain adaptation in medical imaging analysis?,10862,"cs.LG, cs.CL, cs.SD, eess.AS, eess.IV, stat.ML","M. Hamed Mozaffari, Won-Sook Lee",2019
In what ways does memory-guided consistency improve contrastive video categorization models?,7326,cs.CV,"Zhang Jing, Pu Nan, Xie Yu Xiang, Guo Yanming, Lu Qianqi, Zou Shiwei, Yan Jie, Chen Yan",2025
How do these methods enhance the generalizability of learned categories across videos?,7326,cs.CV,"Zhang Jing, Pu Nan, Xie Yu Xiang, Guo Yanming, Lu Qianqi, Zou Shiwei, Yan Jie, Chen Yan",2025
What are key factors in achieving efficient and fast diffusion for text-to-image synthesis with KOALA?,16132,"cs.CV, cs.AI","Youngwan Lee, Kwanyong Park, Yoorhim Cho, Yong-Ju Lee, Sung Ju Hwang",2023
Which domains benefit most from memory efficiency when using Diffusion Models like KOALA?,16132,"cs.CV, cs.AI","Youngwan Lee, Kwanyong Park, Yoorhim Cho, Yong-Ju Lee, Sung Ju Hwang",2023
How does MAML leverage data diversity to enhance meta-learning in neural networks?,2388,"cs.LG, cs.AI, cs.CV","Kavita Selva, Satita Vittayaareekul, Brando Miranda",2025
What are the empirical lessons learned about pre-training and fine-tuning with MAML?,2388,"cs.LG, cs.AI, cs.CV","Kavita Selva, Satita Vittayaareekul, Brando Miranda",2025
Can Transformative Non-linear Concept Explainers (TraNCE) improve interpretability of CNNs in medical imaging?,1045,"cs.CV, cs.AI, cs.LG","Ugochukwu Ejike Akpudo, Yongsheng Gao, Jun Zhou, Andrew Lewis",2025
How does TraNCE handle the complexity of non-linear concepts within visual data analysis?,1045,"cs.CV, cs.AI, cs.LG","Ugochukwu Ejike Akpudo, Yongsheng Gao, Jun Zhou, Andrew Lewis",2025
What are current limitations and opportunities for transfer learning in computer vision tasks?,7493,"cs.CV, cs.AI","Aaryan Panda, Damodar Panigrahi, Shaswata Mitra, Sudip Mittal, Shahram Rahimi",2024
Which areas have seen significant progress due to advances in transfer learning techniques?,7493,"cs.CV, cs.AI","Aaryan Panda, Damodar Panigrahi, Shaswata Mitra, Sudip Mittal, Shahram Rahimi",2024
How does coded redundancy contribute to low tail latency during distributed image classification?,17997,"cs.DC, cs.LG, stat.ML","Krishna Narra, Zhifeng Lin, Ganesh Ananthanarayanan, Salman Avestimehr, Murali Annavaram",2019
What are the trade-offs between coding overhead and reduced inference time with Collage Inference models?,17997,"cs.DC, cs.LG, stat.ML","Krishna Narra, Zhifeng Lin, Ganesh Ananthanarayanan, Salman Avestimehr, Murali Annavaram",2019
How does the Cross-Fundus Transformer improve diabetic retinopathy grading?,18635,"eess.IV, cs.AI, cs.CV","Fan Xiao, Junlin Hou, Ruiwei Zhao, Rui Feng, Haidong Zou, Lina Lu, Yi Xu, Juzhao Zhang",2024
